"obs","school","schgender","avg","score16","score11","sex"
214,4,"mixed",0.0917642,-0.062088,0.9496652,"M"
215,4,"mixed",0.0917642,1.1094382,0.3711052,"M"
216,4,"mixed",0.0917642,-0.699505,0.7843622,"M"
217,4,"mixed",0.0917642,-0.85267,0.3711052,"F"
218,4,"mixed",0.0917642,-1.335315,-1.860484,"M"
219,4,"mixed",0.0917642,-2.291731,-1.860484,"M"
220,4,"mixed",0.0917642,0.1941492,-0.538061,"F"
221,4,"mixed",0.0917642,1.4395322,0.6190592,"F"
222,4,"mixed",0.0917642,0.1340672,0.0404992,"F"
223,4,"mixed",0.0917642,-0.555112,0.0404992,"F"
224,4,"mixed",0.0917642,-0.555112,-0.951318,"M"
225,4,"mixed",0.0917642,0.8965662,0.1231502,"F"
226,4,"mixed",0.0917642,-0.555112,-0.207455,"M"
227,4,"mixed",0.0917642,2.0397092,1.7761802,"F"
228,4,"mixed",0.0917642,0.8219882,0.0404992,"M"
229,4,"mixed",0.0917642,1.5792202,-0.538061,"F"
230,4,"mixed",0.0917642,1.0396082,0.0404992,"F"
231,4,"mixed",0.0917642,2.1029752,2.2720892,"F"
232,4,"mixed",0.0917642,0.5443412,1.1976192,"M"
233,4,"mixed",0.0917642,1.9771072,2.3547402,"M"
234,4,"mixed",0.0917642,0.6787592,1.5282252,"F"
235,4,"mixed",0.0917642,0.7472282,0.7017112,"M"
236,4,"mixed",0.0917642,1.5061852,2.1067862,"M"
237,4,"mixed",0.0917642,2.1029752,0.8670142,"F"
238,4,"mixed",0.0917642,-0.555112,-0.703364,"M"
239,4,"mixed",0.0917642,-0.555112,-0.620713,"F"
240,4,"mixed",0.0917642,-0.062088,0.8670142,"F"
241,4,"mixed",0.0917642,-1.029067,0.2058022,"M"
242,4,"mixed",0.0917642,-0.623051,0.1231502,"M"
243,4,"mixed",0.0917642,-0.492781,-0.786016,"F"
244,4,"mixed",0.0917642,-0.939378,-1.777833,"F"
245,4,"mixed",0.0917642,-1.029067,-0.786016,"F"
246,4,"mixed",0.0917642,0.0735362,0.6190592,"F"
247,4,"mixed",0.0917642,1.1758492,1.6935282,"M"
248,4,"mixed",0.0917642,-1.219486,-0.703364,"M"
249,4,"mixed",0.0917642,-0.623051,-0.042152,"M"
250,4,"mixed",0.0917642,2.3136012,0.4537562,"F"
251,4,"mixed",0.0917642,-1.62373,-0.951318,"M"
252,4,"mixed",0.0917642,-0.555112,0.0404992,"M"
253,4,"mixed",0.0917642,-0.265159,0.7843622,"F"
254,4,"mixed",0.0917642,-0.85267,-0.290107,"M"
255,4,"mixed",0.0917642,0.7472282,0.7843622,"F"
256,4,"mixed",0.0917642,1.1094382,1.8588312,"F"
257,4,"mixed",0.0917642,1.9003352,1.4455742,"M"
258,4,"mixed",0.0917642,-0.062088,-0.538061,"M"
259,4,"mixed",0.0917642,0.3280722,0.1231502,"M"
260,5,"mixed",0.2105252,1.0396082,-0.372758,"F"
261,5,"mixed",0.2105252,1.0396082,0.2058022,"M"
262,5,"mixed",0.2105252,0.1941492,0.2884532,"F"
263,5,"mixed",0.2105252,0.1941492,0.0404992,"M"
264,5,"mixed",0.2105252,0.2613242,0.9496652,"M"
265,5,"mixed",0.2105252,1.5061852,0.7017112,"F"
266,5,"mixed",0.2105252,0.3280722,1.1976192,"F"
267,5,"mixed",0.2105252,-0.129085,-0.372758,"F"
268,5,"mixed",0.2105252,-1.118624,-0.372758,"F"
269,5,"mixed",0.2105252,0.1941492,0.5364082,"F"
270,5,"mixed",0.2105252,0.3280722,-0.124804,"M"
271,5,"mixed",0.2105252,1.1094382,1.7761802,"M"
272,5,"mixed",0.2105252,0.7472282,0.4537562,"F"
273,5,"mixed",0.2105252,-0.062088,-0.372758,"M"
274,5,"mixed",0.2105252,0.4026692,-0.207455,"M"
275,5,"mixed",0.2105252,2.1029752,2.0241342,"F"
276,5,"mixed",0.2105252,0.3280722,-0.620713,"M"
277,5,"mixed",0.2105252,1.5792202,-0.207455,"M"
278,5,"mixed",0.2105252,0.6107292,0.2884532,"F"
279,5,"mixed",0.2105252,0.6787592,0.6190592,"F"
280,5,"mixed",0.2105252,0.1941492,0.5364082,"M"
281,5,"mixed",0.2105252,-0.129085,-1.199273,"F"
282,5,"mixed",0.2105252,1.1758492,-0.372758,"F"
283,5,"mixed",0.2105252,0.2613242,0.7017112,"M"
284,5,"mixed",0.2105252,1.4395322,1.1976192,"F"
285,5,"mixed",0.2105252,0.4781942,0.1231502,"M"
286,5,"mixed",0.2105252,-1.219486,-0.703364,"F"
287,5,"mixed",0.2105252,-0.492781,-0.290107,"M"
288,5,"mixed",0.2105252,1.3101422,0.4537562,"M"
289,5,"mixed",0.2105252,0.6107292,0.5364082,"M"
290,5,"mixed",0.2105252,-0.776109,-0.786016,"F"
291,5,"mixed",0.2105252,-1.219486,-0.372758,"F"
292,5,"mixed",0.2105252,1.1758492,0.8670142,"M"
293,5,"mixed",0.2105252,0.4026692,0.5364082,"F"
294,5,"mixed",0.2105252,-0.419801,-0.290107,"F"
295,6,"girls",0.6376562,0.6107292,-0.45541,"F"
296,6,"girls",0.6376562,1.0396082,0.4537562,"F"
297,6,"girls",0.6376562,0.8965662,0.5364082,"F"
298,6,"girls",0.6376562,0.4026692,0.8670142,"F"
299,6,"girls",0.6376562,0.1941492,1.5282252,"F"
300,6,"girls",0.6376562,1.9003352,0.8670142,"F"
301,6,"girls",0.6376562,0.0735362,1.9414832,"F"
302,6,"girls",0.6376562,1.3101422,1.6108772,"F"
303,6,"girls",0.6376562,2.0397092,0.8670142,"F"
304,6,"girls",0.6376562,1.5792202,0.6190592,"F"
305,6,"girls",0.6376562,1.9003352,0.2058022,"F"
306,6,"girls",0.6376562,-0.265159,0.2058022,"F"
307,6,"girls",0.6376562,1.9771072,2.1894372,"F"
308,6,"girls",0.6376562,0.8219882,0.6190592,"F"
309,6,"girls",0.6376562,0.7472282,-1.03397,"F"
310,6,"girls",0.6376562,1.6618062,2.2720892,"F"
311,6,"girls",0.6376562,2.3136012,0.5364082,"F"
312,6,"girls",0.6376562,1.3747412,0.5364082,"F"
313,6,"girls",0.6376562,1.7348992,1.1976192,"F"
314,6,"girls",0.6376562,0.6787592,0.7843622,"F"
315,6,"girls",0.6376562,2.2031212,1.8588312,"F"
316,6,"girls",0.6376562,1.4395322,0.1231502,"F"
317,6,"girls",0.6376562,0.4026692,0.0404992,"F"
318,6,"girls",0.6376562,1.0396082,-0.124804,"F"
319,6,"girls",0.6376562,-0.419801,-0.372758,"F"
320,6,"girls",0.6376562,0.2613242,-1.03397,"F"
321,6,"girls",0.6376562,1.2405332,1.2802712,"F"
322,6,"girls",0.6376562,0.4781942,0.8670142,"F"
323,6,"girls",0.6376562,1.0396082,-0.951318,"F"
324,6,"girls",0.6376562,0.8965662,0.8670142,"F"
325,6,"girls",0.6376562,2.1029752,2.3547402,"F"
326,6,"girls",0.6376562,0.5443412,-0.372758,"F"
327,6,"girls",0.6376562,0.9675862,2.1894372,"F"
328,6,"girls",0.6376562,1.5792202,1.2802712,"F"
329,6,"girls",0.6376562,2.6267392,2.0241342,"F"
330,6,"girls",0.6376562,1.2405332,0.3711052,"F"
331,6,"girls",0.6376562,0.6107292,0.9496652,"F"
332,6,"girls",0.6376562,1.3747412,0.8670142,"F"
333,6,"girls",0.6376562,1.2405332,0.2884532,"F"
334,6,"girls",0.6376562,1.9771072,1.4455742,"F"
335,6,"girls",0.6376562,0.8219882,0.1231502,"F"
336,6,"girls",0.6376562,-1.723882,-1.447227,"F"
337,6,"girls",0.6376562,0.0735362,0.6190592,"F"
338,6,"girls",0.6376562,1.5792202,1.1976192,"F"
339,6,"girls",0.6376562,1.5792202,0.9496652,"F"
340,6,"girls",0.6376562,2.3136012,1.1976192,"F"
341,6,"girls",0.6376562,0.1941492,0.3711052,"F"
342,6,"girls",0.6376562,1.7348992,2.2720892,"F"
343,6,"girls",0.6376562,1.7348992,1.8588312,"F"
344,6,"girls",0.6376562,0.0043222,-0.372758,"F"
345,6,"girls",0.6376562,0.9675862,-0.207455,"F"
346,6,"girls",0.6376562,1.3747412,-0.124804,"F"
347,6,"girls",0.6376562,1.3101422,2.0241342,"F"
348,6,"girls",0.6376562,0.5443412,0.2884532,"F"
349,6,"girls",0.6376562,1.5792202,1.3629222,"F"
350,6,"girls",0.6376562,-0.699505,0.0404992,"F"
351,6,"girls",0.6376562,1.2405332,1.6935282,"F"
352,6,"girls",0.6376562,1.1758492,0.5364082,"F"
353,6,"girls",0.6376562,0.4026692,0.2058022,"F"
354,6,"girls",0.6376562,1.7348992,1.1976192,"F"
355,6,"girls",0.6376562,-0.939378,0.2884532,"F"
356,6,"girls",0.6376562,0.4026692,0.3711052,"F"
357,6,"girls",0.6376562,1.3101422,0.6190592,"F"
358,6,"girls",0.6376562,0.0043222,-0.042152,"F"
359,6,"girls",0.6376562,1.1094382,-0.290107,"F"
360,6,"girls",0.6376562,0.8965662,0.0404992,"F"
361,6,"girls",0.6376562,-0.492781,-0.207455,"F"
362,6,"girls",0.6376562,0.4781942,-0.620713,"F"
363,6,"girls",0.6376562,0.8219882,0.8670142,"F"
364,6,"girls",0.6376562,0.6787592,0.1231502,"F"
365,6,"girls",0.6376562,1.8138272,1.0323172,"F"
366,6,"girls",0.6376562,1.5061852,1.1149682,"F"
367,6,"girls",0.6376562,0.9675862,0.1231502,"F"
368,6,"girls",0.6376562,0.3280722,-0.372758,"F"
369,6,"girls",0.6376562,-0.419801,0.4537562,"F"
370,6,"girls",0.6376562,0.3280722,-0.124804,"F"
371,6,"girls",0.6376562,0.3280722,1.6108772,"F"
372,6,"girls",0.6376562,-0.623051,0.5364082,"F"
373,6,"girls",0.6376562,1.9771072,1.1149682,"F"
374,6,"girls",0.6376562,1.3101422,0.2884532,"F"
375,7,"girls",-0.029003,-2.108644,0.2884532,"F"
376,7,"girls",-0.029003,-0.419801,-2.356393,"F"
377,7,"girls",-0.029003,0.4781942,-0.703364,"F"
378,7,"girls",-0.029003,0.2613242,-0.372758,"F"
379,7,"girls",-0.029003,-1.335315,-1.116621,"F"
380,7,"girls",-0.029003,0.7472282,0.2058022,"F"
381,7,"girls",-0.029003,-0.419801,0.1231502,"F"
382,7,"girls",-0.029003,0.0043222,-0.45541,"F"
383,7,"girls",-0.029003,0.4781942,0.0404992,"F"
384,7,"girls",-0.029003,1.5792202,1.0323172,"F"
385,7,"girls",-0.029003,1.6618062,-1.03397,"F"
386,7,"girls",-0.029003,0.8965662,-0.124804,"F"
387,7,"girls",-0.029003,0.9675862,0.0404992,"F"
388,7,"girls",-0.029003,1.3747412,0.9496652,"F"
389,7,"girls",-0.029003,0.8219882,-0.207455,"F"
390,7,"girls",-0.029003,0.3280722,-0.372758,"F"
391,7,"girls",-0.029003,1.2405332,0.4537562,"F"
392,7,"girls",-0.029003,0.0043222,0.5364082,"F"
393,7,"girls",-0.029003,-0.492781,-0.538061,"F"
394,7,"girls",-0.029003,0.8965662,-0.207455,"F"
395,7,"girls",-0.029003,0.5443412,-0.290107,"F"
396,7,"girls",-0.029003,-0.265159,-0.042152,"F"
397,7,"girls",-0.029003,0.1941492,-0.538061,"F"
398,7,"girls",-0.029003,1.9771072,1.6935282,"F"
399,7,"girls",-0.029003,1.3101422,-0.124804,"F"
400,7,"girls",-0.029003,1.7348992,-0.290107,"F"
401,7,"girls",-0.029003,0.4781942,-0.703364,"F"
402,7,"girls",-0.029003,1.1094382,-0.207455,"F"
403,7,"girls",-0.029003,1.2405332,2.4373912,"F"
404,7,"girls",-0.029003,0.6787592,1.8588312,"F"
405,7,"girls",-0.029003,-0.85267,-0.868667,"F"
406,7,"girls",-0.029003,0.6107292,-0.703364,"F"
407,7,"girls",-0.029003,-0.555112,-0.042152,"F"
408,7,"girls",-0.029003,1.4395322,1.9414832,"F"
409,7,"girls",-0.029003,0.1941492,-0.538061,"F"
410,7,"girls",-0.029003,0.7472282,-0.207455,"F"
411,7,"girls",-0.029003,0.8219882,2.2720892,"F"
412,7,"girls",-0.029003,1.2405332,0.0404992,"F"
413,7,"girls",-0.029003,0.3280722,0.1231502,"F"
414,7,"girls",-0.029003,0.8219882,-0.124804,"F"
415,7,"girls",-0.029003,1.1758492,1.3629222,"F"
416,7,"girls",-0.029003,0.0735362,-0.45541,"F"
417,7,"girls",-0.029003,0.8219882,-0.45541,"F"
418,7,"girls",-0.029003,-0.623051,-0.372758,"F"
419,7,"girls",-0.029003,1.1758492,-1.281924,"F"
420,7,"girls",-0.029003,-0.623051,-0.290107,"F"
421,7,"girls",-0.029003,-0.197611,-0.786016,"F"
422,7,"girls",-0.029003,0.4781942,-0.207455,"F"
423,7,"girls",-0.029003,-0.129085,-0.124804,"F"
424,7,"girls",-0.029003,0.1340672,0.0404992,"F"
425,7,"girls",-0.029003,0.5443412,0.1231502,"F"
426,7,"girls",-0.029003,0.4781942,0.6190592,"F"
427,7,"girls",-0.029003,0.1941492,0.0404992,"F"
428,7,"girls",-0.029003,1.6618062,-1.695182,"F"
429,7,"girls",-0.029003,-1.335315,-0.868667,"F"
430,7,"girls",-0.029003,0.9675862,-0.45541,"F"
431,7,"girls",-0.029003,0.2613242,0.2884532,"F"
432,7,"girls",-0.029003,1.1094382,0.7843622,"F"
433,7,"girls",-0.029003,0.3280722,-0.124804,"F"
434,7,"girls",-0.029003,0.2613242,-0.951318,"F"
435,7,"girls",-0.029003,-0.623051,1.1976192,"F"
436,7,"girls",-0.029003,-1.029067,1.0323172,"F"
437,7,"girls",-0.029003,0.9675862,1.3629222,"F"
438,7,"girls",-0.029003,1.0396082,0.6190592,"F"
439,7,"girls",-0.029003,0.4781942,-0.620713,"F"
440,7,"girls",-0.029003,0.3280722,-0.786016,"F"
441,7,"girls",-0.029003,-0.85267,-1.943136,"F"
442,7,"girls",-0.029003,1.1094382,-0.207455,"F"
443,7,"girls",-0.029003,-0.062088,-0.45541,"F"
444,7,"girls",-0.029003,0.8219882,0.2058022,"F"
445,7,"girls",-0.029003,0.3280722,1.3629222,"F"
446,7,"girls",-0.029003,-0.419801,-0.786016,"F"
447,7,"girls",-0.029003,-0.197611,2.0241342,"F"
448,7,"girls",-0.029003,-0.197611,-0.951318,"F"
449,7,"girls",-0.029003,-0.939378,0.2884532,"F"
450,7,"girls",-0.029003,0.9675862,0.3711052,"F"
451,7,"girls",-0.029003,0.1941492,-0.207455,"F"
452,7,"girls",-0.029003,-0.338842,-0.703364,"F"
453,7,"girls",-0.029003,0.3280722,-0.703364,"F"
454,7,"girls",-0.029003,1.5061852,-0.290107,"F"
455,7,"girls",-0.029003,0.1941492,0.4537562,"F"
456,7,"girls",-0.029003,0.0735362,0.2884532,"F"
457,7,"girls",-0.029003,0.6787592,0.5364082,"F"
