"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour","UA","DL","AA","US"
2013,1,1,2128,2135,-7,26,50,-24,"AA",185,"N338AA","JFK","LAX",338,2475,21,35,1672693200,0,0,1,0
2013,10,14,839,843,-4,942,957,-15,"UA",994,"N837UA","EWR","BOS",37,200,8,43,1697356800,1,0,0,0
2013,8,16,628,630,-2,917,845,32,"DL",575,"N302DQ","EWR","ATL",118,746,6,30,1692252000,0,1,0,0
2013,12,19,1417,1355,22,1538,1525,13,"WN",3,"N226WN","LGA","MDW",120,725,13,55,1703077200,0,0,0,0
2013,1,23,1702,1706,-4,1819,1834,-15,"B6",36,"N648JB","JFK","ROC",51,264,17,6,1674579600,0,0,0,0
2013,4,29,1640,1645,-5,1832,1902,-30,"9E",3383,"N926XJ","JFK","CVG",90,589,16,45,1682870400,0,0,0,0
2013,11,21,655,700,-5,756,809,-13,"US",2169,"N741UW","LGA","DCA",42,214,7,0,1700636400,0,0,0,1
2013,11,17,1517,1515,2,1750,1805,-15,"UA",1744,"N36247","EWR","TPA",140,997,15,15,1700319600,1,0,0,0
2013,4,11,2019,2019,0,2140,2157,-17,"UA",1464,"N37252","EWR","CLE",66,404,20,19,1681329600,1,0,0,0
2013,3,27,805,816,-11,1002,1013,-11,"EV",4140,"N13566","EWR","MEM",149,946,8,16,1679990400,0,0,0,0
2013,6,22,1453,1455,-2,1742,1710,32,"DL",127,"N342NB","JFK","DTW",135,509,14,55,1687528800,0,1,0,0
2013,10,15,1900,1900,0,2218,2235,-17,"DL",435,"N705TW","JFK","SFO",336,2586,19,0,1697482800,0,1,0,0
2013,6,14,1612,1555,17,1745,1727,18,"B6",44,"N353JB","JFK","BTV",49,266,15,55,1686841200,0,0,0,0
2013,5,1,743,745,-2,1014,1004,10,"DL",807,"N999DN","EWR","ATL",107,746,7,45,1683010800,0,1,0,0
2013,5,9,717,717,0,916,912,4,"EV",4704,"N11176","EWR","GSP",90,594,7,17,1683702000,0,0,0,0
2013,10,24,721,725,-4,941,1000,-19,"UA",1289,"N78506","EWR","LAS",303,2227,7,25,1698217200,1,0,0,0
2013,11,19,1320,1325,-5,1524,1534,-10,"EV",4161,"N17115","EWR","MSP",164,1008,13,25,1700485200,0,0,0,0
2013,6,16,746,745,1,858,905,-7,"WN",3841,"N251WN","EWR","MDW",110,711,7,45,1686985200,0,0,0,0
2013,4,22,1529,1530,-1,1904,1905,-1,"AA",85,"N362AA","JFK","SFO",364,2586,15,30,1682262000,0,0,1,0
2013,5,3,1150,1145,5,1320,1322,-2,"EV",4376,"N12175","EWR","RDU",64,416,11,45,1683198000,0,0,0,0
2013,6,26,623,630,-7,804,825,-21,"MQ",3676,"N521MQ","LGA","CLT",80,544,6,30,1687845600,0,0,0,0
2013,6,21,2022,1935,47,2254,2223,31,"9E",3380,"N926XJ","JFK","JAX",116,828,19,35,1687460400,0,0,0,0
2013,3,22,1901,1910,-9,2036,2055,-19,"MQ",4569,"N735MQ","LGA","RDU",73,431,19,10,1679598000,0,0,0,0
2013,12,8,1348,1259,49,1546,1454,52,"MQ",3388,"N827MQ","LGA","CMH",99,479,12,59,1702123200,0,0,0,0
2013,5,28,2116,2110,6,2233,2245,-12,"B6",10,"N334JB","JFK","BUF",58,301,21,10,1685394000,0,0,0,0
2013,11,21,1955,1946,9,2114,2052,22,"EV",4312,"N14907","EWR","DCA",47,199,19,46,1700679600,0,0,0,0
2013,7,7,456,500,-4,630,640,-10,"US",1431,"N539UW","EWR","CLT",74,529,5,0,1688792400,0,0,0,1
2013,11,17,1148,1200,-12,1249,1308,-19,"B6",316,"N265JB","JFK","SYR",45,209,12,0,1700308800,0,0,0,0
2013,2,27,1628,1455,93,1936,1757,99,"B6",141,"N587JB","JFK","PBI",160,1028,14,55,1677592800,0,0,0,0
2013,6,30,2105,1827,158,2306,2032,154,"EV",4397,"N21130","EWR","MCI",154,1092,18,27,1688234400,0,0,0,0
2013,10,24,1906,1905,1,2123,2131,-8,"DL",2454,"N380DA","JFK","DEN",217,1626,19,5,1698260400,0,1,0,0
2013,11,5,1630,1629,1,1906,1932,-26,"B6",1161,"N656JB","LGA","PBI",136,1035,16,29,1699286400,0,0,0,0
2013,3,11,1336,1335,1,1831,1836,-5,"UA",15,"N69059","EWR","HNL",636,4963,13,35,1678626000,1,0,0,0
2013,8,18,1912,1916,-4,2126,2150,-24,"UA",1481,"N37420","EWR","LAS",277,2227,19,16,1692471600,1,0,0,0
2013,3,26,1800,1800,0,1907,1925,-18,"WN",3872,"N242WN","EWR","MDW",104,711,18,0,1679940000,0,0,0,0
2013,3,12,1935,1900,35,2155,2131,24,"DL",947,"N6705Y","LGA","ATL",116,762,19,0,1678734000,0,1,0,0
2013,8,30,847,830,17,1111,1130,-19,"UA",443,"N589UA","JFK","LAX",294,2475,8,30,1693468800,1,0,0,0
2013,11,10,2235,2139,56,9,2302,67,"B6",702,"N309JB","JFK","BUF",69,301,21,39,1699736400,0,0,0,0
2013,6,14,2037,1930,67,2144,2047,57,"EV",5769,"N835AS","LGA","IAD",43,229,19,30,1686855600,0,0,0,0
2013,10,4,1528,1530,-2,1744,1747,-3,"DL",1942,"N340NB","EWR","ATL",100,746,15,30,1696518000,0,1,0,0
2013,2,15,633,635,-2,855,852,3,"EV",4423,"N26141","EWR","IND",108,645,6,35,1676527200,0,0,0,0
2013,11,5,1755,1800,-5,1902,1919,-17,"US",2158,"N955UW","LGA","BOS",41,184,18,0,1699293600,0,0,0,1
2013,12,10,1923,1921,2,2258,2246,12,"B6",71,"N648JB","JFK","SLC",312,1990,19,21,1702321200,0,0,0,0
2013,6,11,1602,1550,12,1740,1749,-9,"9E",3523,"N909XJ","JFK","ORD",129,740,15,50,1686582000,0,0,0,0
2013,8,29,1928,1934,-6,2134,2143,-9,"EV",4293,"N18557","EWR","CHS",91,628,19,34,1693422000,0,0,0,0
2013,8,22,2136,2040,56,2324,2235,49,"MQ",3603,"N735MQ","LGA","DTW",79,502,20,40,1692820800,0,0,0,0
2013,9,11,1443,1450,-7,1627,1637,-10,"EV",5675,"N12135","EWR","CMH",75,463,14,50,1694527200,0,0,0,0
2013,9,18,805,805,0,1113,1103,10,"DL",2395,"N331NB","LGA","PBI",157,1035,8,5,1695110400,0,1,0,0
2013,11,22,1448,1455,-7,1936,1949,-13,"B6",703,"N592JB","JFK","SJU",197,1598,14,55,1700748000,0,0,0,0
2013,3,13,1526,1530,-4,1836,1922,-46,"DL",1322,"N707TW","JFK","SFO",340,2586,15,30,1678806000,0,1,0,0
2013,7,24,601,605,-4,839,905,-26,"AA",1837,"N3CGAA","LGA","MIA",140,1096,6,5,1690264800,0,0,1,0
2013,1,3,1257,1255,2,1513,1535,-22,"WN",1251,"N270WN","LGA","DEN",229,1620,12,55,1672833600,0,0,0,0
2013,8,14,1300,1300,0,1554,1614,-20,"UA",1700,"N39416","EWR","SFO",332,2565,13,0,1692104400,1,0,0,0
2013,12,31,1554,1545,9,1836,1815,21,"WN",3778,"N223WN","EWR","DEN",249,1605,15,45,1704121200,0,0,0,0
2013,9,3,554,600,-6,700,700,0,"US",2134,"N717UW","LGA","BOS",39,184,6,0,1693807200,0,0,0,1
2013,3,2,2240,2245,-5,19,2354,25,"B6",608,"N193JB","JFK","PWM",50,273,22,45,1677880800,0,0,0,0
2013,6,5,1716,1709,7,1909,1905,4,"EV",4658,"N11155","EWR","CHS",91,628,17,9,1686070800,0,0,0,0
2013,6,25,1148,1159,-11,1326,1344,-18,"MQ",3404,"N724MQ","LGA","RDU",67,431,11,59,1687777200,0,0,0,0
2013,10,28,1927,1930,-3,2106,2125,-19,"MQ",3349,"N501MQ","LGA","MSP",145,1020,19,30,1698606000,0,0,0,0
2013,9,18,803,804,-1,951,958,-7,"EV",5242,"N605QX","LGA","GSO",67,461,8,4,1695110400,0,0,0,0
2013,5,2,1941,1929,12,2208,2236,-28,"UA",1464,"N37263","EWR","SAN",309,2425,19,29,1683140400,1,0,0,0
2013,5,26,1025,1030,-5,1146,1144,2,"EV",3819,"N13975","EWR","IAD",48,212,10,30,1685181600,0,0,0,0
2013,3,31,1652,1700,-8,1810,1821,-11,"US",2183,"N766US","LGA","DCA",47,214,17,0,1680368400,0,0,0,1
2013,12,31,2117,2046,31,2356,2349,7,"UA",249,"N491UA","EWR","TPA",142,997,20,46,1704139200,1,0,0,0
2013,9,3,1329,1329,0,1758,1814,-16,"UA",15,"N68061","EWR","HNL",602,4963,13,29,1693832400,1,0,0,0
2013,3,19,1552,1600,-8,1807,1820,-13,"MQ",3985,"N688MQ","JFK","CVG",106,589,16,0,1679328000,0,0,0,0
2013,12,1,1445,1445,0,1723,1737,-14,"B6",1883,"N634JB","JFK","MCO",134,944,14,45,1701525600,0,0,0,0
2013,4,15,1140,1145,-5,1425,1431,-6,"B6",625,"N348JB","JFK","HOU",206,1428,11,45,1681642800,0,0,0,0
2013,7,7,1310,1259,11,1655,1654,1,"UA",1708,"N39415","EWR","SJU",201,1608,12,59,1688817600,1,0,0,0
2013,7,21,2331,2155,96,210,43,87,"B6",425,"N580JB","JFK","TPA",135,1005,21,55,1690059600,0,0,0,0
2013,4,28,1215,1210,5,1509,1510,-1,"AA",743,"N481AA","LGA","DFW",188,1389,12,10,1682769600,0,0,1,0
2013,3,19,802,805,-3,1112,1106,6,"DL",2395,"N309US","LGA","PBI",147,1035,8,5,1679299200,0,1,0,0
2013,7,2,2156,2150,6,47,100,-13,"AA",185,"N329AA","JFK","LAX",306,2475,21,50,1688418000,0,0,1,0
2013,7,20,606,610,-4,756,806,-10,"DL",1919,"N370NB","LGA","MSP",150,1020,6,10,1689919200,0,1,0,0
2013,7,25,1920,1920,0,2049,2100,-11,"AA",361,"N3AEAA","LGA","ORD",102,733,19,20,1690398000,0,0,1,0
2013,2,7,1558,1555,3,2029,2055,-26,"B6",703,"N563JB","JFK","SJU",188,1598,15,55,1675868400,0,0,0,0
2013,11,24,1353,1359,-6,1516,1534,-18,"EV",4171,"N15973","EWR","MSN",129,799,13,59,1700917200,0,0,0,0
2013,4,24,1201,1200,1,1450,1500,-10,"UA",1186,"N68452","EWR","MIA",146,1085,12,0,1682424000,1,0,0,0
2013,7,16,1945,1930,15,2103,2049,14,"EV",5714,"N833AS","JFK","IAD",44,228,19,30,1689620400,0,0,0,0
2013,9,20,557,600,-3,832,905,-33,"AA",1175,"N3BLAA","LGA","MIA",137,1096,6,0,1695276000,0,0,1,0
2013,10,17,921,920,1,1234,1235,-1,"VX",407,"N624VA","JFK","LAX",338,2475,9,20,1697619600,0,0,0,0
2013,4,11,2018,2014,4,2218,2218,0,"EV",3838,"N14952","EWR","CVG",95,569,20,14,1681329600,0,0,0,0
2013,5,1,1558,1545,13,1736,1745,-9,"MQ",4146,"N687MQ","JFK","CMH",72,483,15,45,1683039600,0,0,0,0
2013,11,25,828,829,-1,948,958,-10,"EV",5813,"N14923","EWR","RIC",53,277,8,29,1700985600,0,0,0,0
2013,3,20,1655,1700,-5,1943,1955,-12,"AA",257,"N3JXAA","JFK","LAS",325,2248,17,0,1679418000,0,0,1,0
2013,11,26,1632,1615,17,1933,1925,8,"AA",211,"N3DAAA","JFK","IAH",219,1417,16,15,1701100800,0,0,1,0
2013,2,13,1402,1400,2,1505,1510,-5,"EV",4434,"N14558","EWR","MHT",37,209,14,0,1676383200,0,0,0,0
2013,3,18,1312,1230,42,1509,1427,42,"EV",4640,"N29917","EWR","DAY",90,533,12,30,1679227200,0,0,0,0
2013,10,10,1325,1325,0,1630,1623,7,"UA",1054,"N14115","EWR","LAX",340,2454,13,25,1697029200,1,0,0,0
2013,3,23,1824,1815,9,2052,2033,19,"9E",3470,"N908XJ","JFK","DTW",86,509,18,15,1679680800,0,0,0,0
2013,6,14,1942,1935,7,2246,2223,23,"9E",3380,"N908XJ","JFK","JAX",102,828,19,35,1686855600,0,0,0,0
2013,7,20,1152,1200,-8,1251,1318,-27,"EV",3265,"N14177","EWR","BTV",43,266,12,0,1689940800,0,0,0,0
2013,3,12,2117,1847,150,10,2219,111,"UA",389,"N510UA","JFK","SFO",327,2586,18,47,1678730400,1,0,0,0
2013,3,23,2310,2030,160,30,2204,146,"FL",354,"N983AT","LGA","CAK",67,397,20,30,1679688000,0,0,0,0
2013,4,10,1147,950,117,1422,1252,90,"B6",503,"N746JB","EWR","FLL",139,1065,9,50,1681203600,0,0,0,0
2013,12,22,1549,1515,34,1908,1838,30,"DL",419,"N713TW","JFK","SEA",327,2422,15,15,1703343600,0,1,0,0
2013,2,10,2034,2039,-5,2140,2143,-3,"EV",4695,"N13553","EWR","MHT",41,209,20,39,1676145600,0,0,0,0
2013,9,6,1407,1410,-3,1628,1635,-7,"FL",350,"N992AT","LGA","ATL",109,762,14,10,1694095200,0,0,0,0
2013,3,18,2223,2015,128,11,2130,161,"AA",1762,"N3CBAA","JFK","BOS",42,187,20,15,1679256000,0,0,1,0
